Month,ZipCode,ZipName,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2017-08-01,78726.0,"Austin, TX",475000.0,-0.0102,-0.075,51.0,0.0625,0.2439,80.0,-0.0476,0.1429,16.0,1.0,1.0,0.0,,,18.0,-0.3571,2.0,9.0,-0.5,-0.3571,590700.0,0.0846,-0.0102,60.0,-0.0909,0.0909,0.1765,-0.1985,-0.165
2017-08-01,78727.0,"Austin, TX",328500.0,-0.0045,0.0108,35.0,-0.1026,-0.375,31.0,0.0333,-0.4259,26.0,-0.1875,-0.2353,0.0,,,12.0,0.0,-0.625,33.0,0.0645,0.0,366600.0,0.0489,0.0186,68.0,-0.0286,-0.236,0.9429,0.148,0.3536
2017-08-01,78729.0,"Austin, TX",316500.0,0.0048,0.1082,47.0,0.2051,-0.0962,33.0,0.2222,0.0,20.0,-0.1667,-0.4118,0.0,,-1.0,30.0,0.875,-0.1667,25.0,-0.1071,-0.2647,319300.0,-0.028,0.0861,72.0,0.0746,-0.1628,0.5319,-0.186,-0.1219
2017-08-01,78730.0,"Austin, TX",844500.0,-0.0479,-0.0092,66.0,-0.1081,0.2453,75.0,0.3636,0.1538,12.0,-0.25,0.2,0.0,,,26.0,0.0833,0.3,17.0,-0.1905,0.0625,1868100.0,0.0127,0.8053,83.0,-0.1263,0.2029,0.2576,-0.0262,-0.0443
2017-08-01,78731.0,"Austin, TX",750000.0,-0.0366,0.0091,123.0,-0.0465,0.1604,68.0,0.1333,0.1333,28.0,-0.5,-0.125,0.0,,,62.0,-0.1842,0.55,36.0,-0.027,-0.122,1192500.0,0.023,0.0022,159.0,-0.0422,0.0816,0.2927,0.0059,-0.0941
2017-08-01,78732.0,"Austin, TX",607500.0,-0.0122,-0.1621,138.0,-0.0072,0.2432,63.0,-0.0308,-0.0735,34.0,-0.2917,-0.1905,4.0,,,64.0,-0.2381,0.6,28.0,-0.2,-0.2432,895500.0,-0.0003,-0.2194,166.0,-0.046,0.1216,0.2029,-0.0489,-0.1304
2017-08-01,78733.0,"Austin, TX",1156300.0,0.0055,0.0176,52.0,-0.0877,-0.1034,97.0,0.4697,0.1548,12.0,-0.25,0.2,0.0,,,16.0,-0.2,1.0,11.0,0.0,0.2222,1676600.0,-0.0059,-0.2981,63.0,-0.0735,-0.0597,0.2115,0.0186,0.0564
2017-08-01,78734.0,"Austin, TX",579900.0,0.0085,0.0156,259.0,-0.0152,-0.1752,72.0,0.0,0.0435,58.0,-0.0333,0.16,0.0,-1.0,-1.0,84.0,-0.1923,0.1667,62.0,0.0,-0.0159,949600.0,0.0482,-0.0124,321.0,-0.0123,-0.1485,0.2394,0.0036,0.0387
2017-08-01,78735.0,"Austin, TX",897500.0,-0.1573,-0.2075,106.0,-0.0702,-0.0619,111.0,0.1443,0.1443,22.0,-0.3125,-0.0833,2.0,,,30.0,0.25,-0.3182,16.0,-0.3333,-0.1579,1260000.0,-0.056,-0.1702,122.0,-0.1159,-0.0758,0.1509,-0.0596,-0.0172
2017-08-01,78736.0,"Austin, TX",479000.0,0.0827,-0.1033,25.0,0.25,0.1364,51.0,1.125,0.02,12.0,-0.25,0.5,0.0,,,20.0,0.6667,1.0,8.0,-0.4667,-0.3333,662900.0,0.1489,-0.1126,33.0,-0.0571,-0.0294,0.32,-0.43,-0.2255
2017-08-01,78737.0,"Austin, TX",521500.0,-0.0104,0.0753,122.0,-0.0687,-0.0081,61.0,0.1296,-0.0615,40.0,-0.0909,0.25,6.0,0.5,2.0,54.0,-0.0357,0.0385,24.0,-0.2258,-0.2,584500.0,-0.0337,0.0258,146.0,-0.0988,-0.0458,0.1967,-0.0399,-0.0472
2017-08-01,78738.0,"Austin, TX",629700.0,-0.0159,0.0331,334.0,-0.0696,0.1399,77.0,0.1324,0.1,66.0,-0.175,0.1786,10.0,-0.375,-0.6154,124.0,-0.1389,0.4091,52.0,-0.1034,-0.1613,879500.0,-0.0241,0.0542,386.0,-0.0743,0.0873,0.1557,-0.0059,-0.0559
2017-08-01,78739.0,"Austin, TX",509500.0,-0.0088,0.0293,76.0,-0.0843,0.0411,45.0,0.125,0.1538,28.0,-0.4167,0.0,0.0,-1.0,-1.0,42.0,0.1667,0.05,24.0,-0.4,-0.3846,562100.0,-0.0007,0.0974,100.0,-0.187,-0.1071,0.3158,-0.1661,-0.2185
2017-08-01,78741.0,"Austin, TX",344900.0,-0.0132,-0.0285,70.0,-0.0667,0.1111,53.0,-0.209,0.0,24.0,-0.3333,0.0,4.0,,,34.0,1.8333,2.4,55.0,-0.0984,1.037,347000.0,-0.017,0.0055,125.0,-0.0809,0.3889,0.7857,-0.0276,0.3571
2017-08-01,78744.0,"Austin, TX",260800.0,0.0031,-0.0177,47.0,0.0682,-0.1455,42.0,-0.1064,-0.2075,28.0,0.1667,-0.0667,0.0,-1.0,-1.0,24.0,1.0,0.0,37.0,0.0571,0.1212,259200.0,-0.0263,-0.008,84.0,0.0633,-0.0455,0.7872,-0.0082,0.1872
2017-08-01,78745.0,"Austin, TX",333500.0,0.0109,0.097,115.0,0.0,0.1616,35.0,-0.0541,0.0606,56.0,-0.1765,-0.1515,4.0,,,64.0,0.0667,0.3913,80.0,-0.0805,-0.0476,347900.0,0.0113,0.1215,195.0,-0.0347,0.0656,0.6957,-0.0609,-0.1528
2017-08-01,78746.0,"Austin, TX",1331300.0,-0.0229,-0.1035,198.0,-0.0833,0.0154,73.0,0.0,-0.0875,38.0,-0.1364,0.0,4.0,,,60.0,-0.2105,0.3043,46.0,-0.098,0.122,1818900.0,-0.0388,-0.1738,244.0,-0.0861,0.0339,0.2323,-0.0038,0.0221
2017-08-01,78747.0,"Austin, TX",294400.0,-0.017,0.018,58.0,0.0741,-0.1343,33.0,-0.25,-0.2667,34.0,0.2143,0.2143,6.0,,0.5,16.0,-0.3333,-0.5294,32.0,-0.0857,0.0323,311200.0,-0.0067,0.0147,90.0,0.0112,-0.0816,0.5517,-0.0964,0.089
2017-08-01,78748.0,"Austin, TX",310000.0,-0.0156,,211.0,0.2197,,37.0,-0.0263,,102.0,0.0625,0.186,12.0,0.5,2.0,52.0,-0.1333,-0.2353,72.0,-0.0769,-0.0886,330600.0,-0.0096,0.0119,283.0,0.1275,0.2922,0.3412,-0.1096,-0.2231
2017-08-01,78749.0,"Austin, TX",389900.0,-0.0127,,101.0,0.0632,,35.0,0.5217,,36.0,-0.4375,-0.3793,4.0,,,68.0,0.0,1.8333,49.0,-0.02,-0.02,394200.0,-0.0055,0.1005,150.0,0.0345,0.4019,0.4851,-0.0412,-0.392
2017-08-01,78750.0,"Austin, TX",457800.0,-0.0362,-0.0826,103.0,-0.0636,0.2875,41.0,0.3226,-0.1277,28.0,-0.4615,-0.125,0.0,,,54.0,-0.0357,0.4211,39.0,-0.1333,0.2188,445200.0,-0.0416,-0.0748,142.0,-0.0839,0.2679,0.3786,-0.0305,-0.0214
2017-08-01,78751.0,"Austin, TX",476200.0,-0.022,-0.1222,49.0,-0.02,-0.0755,61.0,0.0517,0.2979,14.0,-0.125,-0.4615,0.0,,-1.0,18.0,-0.3571,-0.1,11.0,-0.2667,-0.45,539200.0,-0.0007,-0.0457,60.0,-0.0769,-0.1781,0.2245,-0.0755,-0.1529
2017-08-01,78753.0,"Austin, TX",249900.0,-0.0103,-0.0748,38.0,0.1176,-0.0256,38.0,1.1111,-0.05,20.0,-0.1667,-0.0909,4.0,0.0,,26.0,2.25,0.4444,32.0,0.0323,0.3333,271000.0,0.0242,-0.0404,70.0,0.0769,0.1111,0.8421,-0.0697,0.2267
2017-08-01,78754.0,"Austin, TX",264400.0,-0.0134,0.0735,50.0,0.1111,,36.0,-0.1628,0.0909,36.0,0.5,0.0588,4.0,,,26.0,2.25,0.3,22.0,0.1,-0.4634,271700.0,-0.0733,-0.053,72.0,0.1077,-0.1325,0.44,-0.0044,-0.5362
2017-08-01,78756.0,"Austin, TX",696000.0,0.0708,,38.0,-0.0732,,61.0,0.2449,,14.0,0.1667,1.3333,0.0,,,14.0,-0.4167,0.1667,17.0,0.3077,0.4167,653300.0,-0.0309,0.0786,55.0,0.0185,0.4865,0.4474,0.1303,-0.0326
2017-08-01,78757.0,"Austin, TX",450000.0,-0.0722,,108.0,0.1134,,44.0,0.1579,,44.0,-0.0833,0.5714,4.0,,1.0,74.0,0.4231,1.0556,53.0,-0.1311,0.4324,454600.0,-0.0652,-0.0859,161.0,0.019,0.5941,0.4907,-0.1381,-0.0874
2017-08-01,78758.0,"Austin, TX",275000.0,0.0185,,38.0,0.0857,,27.0,0.4211,,28.0,-0.3,0.2727,2.0,,,22.0,0.8333,2.6667,36.0,-0.1,0.0909,280900.0,0.0148,0.017,74.0,-0.0133,0.3214,0.9474,-0.1955,-0.4874
2017-08-01,78759.0,"Austin, TX",445000.0,0.0565,-0.1084,107.0,0.0,,50.0,0.1364,0.2195,30.0,-0.375,-0.3182,0.0,-1.0,,66.0,0.1786,0.32,34.0,-0.32,-0.4333,501300.0,-0.0103,-0.055,141.0,-0.1019,-0.014,0.3178,-0.1495,-0.4051
2017-07-01,78701.0,"Austin, TX",619900.0,0.0146,,135.0,0.08,,72.0,-0.0769,,40.0,0.8182,0.6667,4.0,1.0,,32.0,0.0667,0.3333,23.0,-0.3429,0.0952,1011000.0,-0.0126,-0.1619,158.0,-0.0125,0.3621,0.1704,-0.1096,-0.0507
2017-07-01,78702.0,"Austin, TX",469000.0,-0.0168,0.0659,159.0,0.0392,0.1866,44.0,0.375,0.2222,48.0,-0.3846,-0.1429,0.0,-1.0,-1.0,60.0,-0.0323,-0.1176,83.0,-0.0568,0.766,512600.0,-0.0099,0.0582,242.0,0.0041,0.337,0.522,-0.0532,0.1713
2017-07-01,78703.0,"Austin, TX",1120000.0,-0.0499,0.1203,142.0,0.0216,0.0923,61.0,0.0517,-0.0161,44.0,0.2941,0.375,4.0,,,56.0,0.12,0.0769,31.0,-0.3542,-0.2051,1248300.0,-0.0576,-0.0885,173.0,-0.0749,0.0237,0.2183,-0.127,-0.0817
2017-07-01,78704.0,"Austin, TX",599000.0,0.0222,-0.0179,272.0,0.0,0.0924,55.0,0.2222,-0.0351,80.0,-0.2308,0.0526,0.0,-1.0,,152.0,0.0556,0.3571,98.0,-0.0297,0.3803,677700.0,0.013,0.0031,370.0,-0.008,0.1563,0.3603,-0.011,0.0752
2017-07-01,78705.0,"Austin, TX",367900.0,-0.0008,0.0563,41.0,-0.1633,-0.1087,39.0,-0.1875,-0.093,24.0,-0.1429,-0.25,0.0,-1.0,,16.0,1.0,1.0,41.0,0.5185,0.4643,431500.0,0.055,-0.1623,82.0,0.0789,0.1081,1.0,0.449,0.3913
2017-07-01,78717.0,"Austin, TX",379900.0,-0.0081,0.0254,139.0,0.2523,0.3365,35.0,0.2069,-0.125,68.0,-0.2444,0.2143,0.0,-1.0,-1.0,72.0,0.44,0.0,52.0,-0.1475,0.1818,395200.0,-0.0242,-0.003,191.0,0.1105,0.2905,0.3741,-0.1754,-0.049
